;KNN (K = 7);Serialize (SVM, Decision Tree, KNN);Decision Tree;Voting (Soft);Bagging (Nayve Bayes);Serialize (SVM, NayveBayes, KNN);Bagging (KNN);KNN (default);Decision Tree Log;KNN (K = 3);Voting (Hard);Bagging (SVM);Decision Tree (Sqrt);Random Forests (Default);Nayve Bayes;SVM (C = 32, RBF, Gamma = 0.5);Bagging (Decision Tree)
KNN (K = 7);nan;0.00001;0.00000;0.00000;0.00000;0.00000;0.00603;0.00258;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Serialize (SVM, Decision Tree, KNN);0.00001;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Voting (Soft);0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.51650;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Bagging (Nayve Bayes);0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.63420;0.00000;0.00000
Serialize (SVM, NayveBayes, KNN);0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00004;0.00000;0.00000;0.00000
Bagging (KNN);0.00603;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.57157;0.00000;0.00045;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
KNN (default);0.00258;0.00000;0.00000;0.00000;0.00000;0.00000;0.57157;nan;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree Log;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00077;0.00000;0.00000;0.00000;0.00000
KNN (K = 3);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00045;0.00001;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Voting (Hard);0.00000;0.00000;0.00000;0.51650;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Bagging (SVM);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree (Sqrt);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00077;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000
Random Forests (Default);0.00000;0.00000;0.00000;0.00000;0.00000;0.00004;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00001
Nayve Bayes;0.00000;0.00000;0.00000;0.00000;0.63420;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000
SVM (C = 32, RBF, Gamma = 0.5);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000
Bagging (Decision Tree);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00001;0.00000;0.00000;nan
