;KNN (K = 7);Serialize (SVM, Decision Tree, KNN);Decision Tree;Voting (Soft);Bagging (Nayve Bayes);Serialize (SVM, NayveBayes, KNN);Bagging (KNN);KNN (default);Decision Tree Log;KNN (K = 3);Voting (Hard);Bagging (SVM);Decision Tree (Sqrt);Random Forests (Default);Nayve Bayes;SVM (C = 32, RBF, Gamma = 0.5);Bagging (Decision Tree)
KNN (K = 7);nan;0.00000;0.00000;0.83805;0.00000;0.00000;0.00142;0.00000;0.00000;0.00000;0.61874;0.00000;0.00000;0.00709;0.00000;0.00000;0.00001
Serialize (SVM, Decision Tree, KNN);0.00000;nan;0.25940;0.00000;0.00032;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00001;0.00000;0.00002;0.00000;0.00003
Decision Tree;0.00000;0.25940;nan;0.00000;0.00039;0.00001;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00006;0.00000;0.00003
Voting (Soft);0.83805;0.00000;0.00000;nan;0.00000;0.00000;0.00229;0.00042;0.00000;0.00001;0.51602;0.00000;0.00000;0.00103;0.00000;0.00000;0.00000
Bagging (Nayve Bayes);0.00000;0.00032;0.00039;0.00000;nan;0.00002;0.00000;0.00000;0.00062;0.00000;0.00000;0.00000;0.00061;0.00000;0.00003;0.00000;0.00002
Serialize (SVM, NayveBayes, KNN);0.00000;0.00000;0.00001;0.00000;0.00002;nan;0.00010;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00002;0.00011;0.00000;0.78455
Bagging (KNN);0.00142;0.00000;0.00000;0.00229;0.00000;0.00010;nan;0.00000;0.00000;0.00000;0.00531;0.00000;0.00000;0.24530;0.00001;0.00000;0.00013
KNN (default);0.00000;0.00000;0.00000;0.00042;0.00000;0.00000;0.00000;nan;0.00000;0.00001;0.00003;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree Log;0.00000;0.00000;0.00000;0.00000;0.00062;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.26076;0.00000;0.00000;0.00000;0.00000
KNN (K = 3);0.00000;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;0.00001;0.00000;nan;0.00000;0.00003;0.00000;0.00000;0.00000;0.00000;0.00000
Voting (Hard);0.61874;0.00000;0.00000;0.51602;0.00000;0.00000;0.00531;0.00003;0.00000;0.00000;nan;0.00000;0.00000;0.01346;0.00000;0.00000;0.00001
Bagging (SVM);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00003;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree (Sqrt);0.00000;0.00001;0.00000;0.00000;0.00061;0.00000;0.00000;0.00000;0.26076;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000
Random Forests (Default);0.00709;0.00000;0.00000;0.00103;0.00000;0.00002;0.24530;0.00000;0.00000;0.00000;0.01346;0.00000;0.00000;nan;0.00000;0.00000;0.00001
Nayve Bayes;0.00000;0.00002;0.00006;0.00000;0.00003;0.00011;0.00001;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.09408
SVM (C = 32, RBF, Gamma = 0.5);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000
Bagging (Decision Tree);0.00001;0.00003;0.00003;0.00000;0.00002;0.78455;0.00013;0.00000;0.00000;0.00000;0.00001;0.00000;0.00000;0.00001;0.09408;0.00000;nan
